material_ID,material_name,material_vendor,material_category,LCA_source,LCA_ID,LCA_source_URL,density (kg/m3),GHG emissions Total (kg),GHG emissions production (kg),GHG emissions disposal (kg)
SPAG-300349-10.005,Polystyrol extrudiert (XPS): lose; nicht überwacht,,,KBOB,10.005,,30,14.39,11.3,3.09
SPAG-300361-10.005,Styrodur C (20-40mm),,,KBOB,10.005,,45,14.39,11.3,3.09
SPAG-300362-10.005,Styrodur C (50-60mm),,,KBOB,10.005,,45,14.39,11.3,3.09
SPAG-300363-10.005,Styrodur C (80-100mm),,,KBOB,10.005,,45,14.39,11.3,3.09
SPAG-300364-10.005,Styrodur C (120mm),,,KBOB,10.005,,45,14.39,11.3,3.09
SPAG-300365-10.005,Styrodur C (140-200mm),,,KBOB,10.005,,45,14.39,11.3,3.09
SPAG-300393-10.005,X-Foam Wafer (80-140mm),,,KBOB,10.005,,35,14.39,11.3,3.09
SPAG-300394-10.005,X-Foam Wafer (160-200mm),,,KBOB,10.005,,35,14.39,11.3,3.09
SPAG-300398-10.005,X-Foam HBT 300 (160-200mm),,,KBOB,10.005,,35,14.39,11.3,3.09
SPAG-300400-10.005,X-Foam HBT 500 (80-120mm),,,KBOB,10.005,,38,14.39,11.3,3.09
SPAG-300401-10.005,FIBRAN XPS (20-30mm),,,KBOB,10.005,,38,14.39,11.3,3.09
SPAG-300402-10.005,FIBRAN XPS (40-50mm),,,KBOB,10.005,,38,14.39,11.3,3.09
SPAG-300403-10.005,FIBRAN XPS (60-100mm),,,KBOB,10.005,,38,14.39,11.3,3.09
SPAG-300404-10.005,FIBRAN XPS (120mm),,,KBOB,10.005,,38,14.39,11.3,3.09
SPAG-300408-10.005,Jackodur Plus 300 (20-320mm),,,KBOB,10.005,,52,14.39,11.3,3.09
SPAG-300409-10.005,Jackodur CFR 300 / 500 (20-60mm),,,KBOB,10.005,,40,14.39,11.3,3.09
